,Player,Player Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,outrate,MRA,BRPI
0,KS Williamson,(Sunrisers Hyderabad),17,17,3,735,84,52.5,516,142.44,0,8,1,63,28,0.027131782945736434,0.47058823529411764,24.705882352941178
3,AT Rayudu,(Chennai Super Kings),16,16,2,602,100*,43.0,402,149.75,1,3,1,53,34,0.03482587064676617,0.25,26.0
4,SR Watson,(Chennai Super Kings),15,15,1,555,117*,39.64,359,154.59,2,2,1,44,35,0.03899721448467967,0.26666666666666666,25.733333333333334
5,JC Buttler,(Rajasthan Royals),13,13,3,548,95*,54.8,353,155.24,0,5,0,52,21,0.028328611898016998,0.38461538461538464,25.692307692307693
9,S Dhawan,(Sunrisers Hyderabad),16,16,3,497,92*,38.23,363,136.91,0,4,1,59,14,0.03581267217630854,0.25,20.0
10,CA Lynn,(Kolkata Knight Riders),16,16,1,491,74,32.73,377,130.23,0,3,1,56,18,0.03978779840848806,0.1875,20.75
16,E Lewis,(Mumbai Indians),13,13,0,382,65,29.38,276,138.4,0,2,2,32,24,0.04710144927536232,0.15384615384615385,20.923076923076923
17,AM Rahane,(Rajasthan Royals),15,14,1,370,65*,28.46,313,118.21,0,1,0,39,5,0.04153354632587859,0.07142857142857142,13.285714285714286
18,CH Gayle,(Kings XI Punjab),11,11,2,368,104*,40.88,252,146.03,1,3,1,30,27,0.03571428571428571,0.36363636363636365,25.636363636363637
19,SP Narine,(Kolkata Knight Riders),16,16,0,357,75,22.31,188,189.89,0,2,0,40,23,0.0851063829787234,0.125,18.625
24,RG Sharma,(Mumbai Indians),14,14,2,286,94,23.83,215,133.02,0,2,3,25,12,0.05581395348837209,0.14285714285714285,12.285714285714286
30,PP Shaw,(Delhi Daredevils),9,9,0,245,65,27.22,160,153.12,0,2,0,27,10,0.05625,0.2222222222222222,18.666666666666668
36,Q de Kock,(Royal Challengers Bangalore),8,8,0,201,53,25.12,162,124.07,0,1,0,20,8,0.04938271604938271,0.125,16.0
43,AJ Finch,(Kings XI Punjab),10,9,1,134,46,16.75,100,134.0,0,0,2,6,8,0.08,0.0,8.0
46,BB McCullum,(Royal Challengers Bangalore),6,6,0,127,43,21.16,88,144.31,0,0,1,16,6,0.06818181818181818,0.0,16.666666666666668
6,V Kohli,(Royal Challengers Bangalore),14,14,3,530,92*,48.18,381,139.1,0,4,0,52,18,0.028871391076115485,0.2857142857142857,22.571428571428573
7,SA Yadav,(Mumbai Indians),14,14,0,512,72,36.57,384,133.33,0,4,1,61,16,0.036458333333333336,0.2857142857142857,24.285714285714285
13,SK Raina,(Chennai Super Kings),15,15,3,445,75*,37.08,336,132.44,0,4,0,46,12,0.03571428571428571,0.26666666666666666,17.066666666666666
15,SS Iyer,(Delhi Daredevils),14,14,3,411,93*,37.36,310,132.58,0,4,0,29,21,0.035483870967741936,0.2857142857142857,17.285714285714285
20,RV Uthappa,(Kolkata Knight Riders),16,16,0,351,54,21.93,265,132.45,0,1,0,30,21,0.06037735849056604,0.0625,15.375
21,AD Russell,(Kolkata Knight Riders),16,14,3,316,88*,28.72,171,184.79,0,1,1,17,31,0.06432748538011696,0.07142857142857142,18.142857142857142
22,N Rana,(Kolkata Knight Riders),15,15,2,304,59,23.38,232,131.03,0,1,0,26,14,0.05603448275862069,0.06666666666666667,12.533333333333333
23,KK Nair,(Kings XI Punjab),13,12,0,301,54,25.08,221,136.19,0,2,0,23,13,0.05429864253393665,0.16666666666666666,14.166666666666666
25,MK Pandey,(Sunrisers Hyderabad),15,13,2,284,62*,25.81,246,115.44,0,3,1,22,5,0.044715447154471545,0.23076923076923078,9.076923076923077
27,HH Pandya,(Mumbai Indians),13,13,4,260,50,28.88,195,133.33,0,1,0,20,11,0.046153846153846156,0.07692307692307693,11.23076923076923
28,YK Pathan,(Sunrisers Hyderabad),15,13,4,260,45*,28.88,200,130.0,0,0,0,22,11,0.045,0.0,11.846153846153847
29,Mandeep Singh,(Royal Challengers Bangalore),14,13,3,252,47*,25.2,186,135.48,0,0,0,16,11,0.053763440860215055,0.0,10.0
31,Shakib Al Hasan,(Sunrisers Hyderabad),17,13,2,239,35,21.72,197,121.31,0,0,0,26,5,0.05583756345177665,0.0,10.307692307692308
34,V Shankar,(Delhi Daredevils),13,11,7,212,54*,53.0,148,143.24,0,1,0,11,11,0.02702702702702703,0.09090909090909091,10.0
35,Shubman Gill,(Kolkata Knight Riders),13,11,5,203,57*,33.83,139,146.04,0,1,0,22,5,0.04316546762589928,0.09090909090909091,10.727272727272727
38,GJ Maxwell,(Delhi Daredevils),12,12,0,169,47,14.08,120,140.83,0,0,0,14,9,0.1,0.0,9.166666666666666
39,F du Plessis,(Chennai Super Kings),6,6,1,162,67*,32.4,129,125.58,0,1,0,17,6,0.03875968992248062,0.16666666666666666,17.333333333333332
40,PA Patel,(Royal Challengers Bangalore),6,6,1,153,53,30.6,109,140.36,0,1,0,20,4,0.045871559633027525,0.16666666666666666,17.333333333333332
44,KA Pollard,(Mumbai Indians),9,8,1,133,50,19.0,100,133.0,0,1,1,10,7,0.07,0.125,10.25
32,KH Pandya,(Mumbai Indians),14,13,3,228,41*,22.8,157,145.22,0,0,0,22,10,0.06369426751592357,0.0,11.384615384615385
33,RA Tripathi,(Rajasthan Royals),12,12,3,226,80*,25.11,167,135.32,0,1,0,18,8,0.05389221556886228,0.08333333333333333,10.0
37,BA Stokes,(Rajasthan Royals),13,13,1,196,45,16.33,161,121.73,0,0,1,13,6,0.07453416149068323,0.0,6.769230769230769
41,AD Hales,(Sunrisers Hyderabad),6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,0.05084745762711865,0.0,14.666666666666666
42,DJ Bravo,(Chennai Super Kings),16,10,6,141,68,35.25,91,154.94,0,1,1,8,10,0.04395604395604396,0.1,9.2
45,C de Grandhomme,(Royal Challengers Bangalore),9,8,3,131,40,26.2,84,155.95,0,0,0,4,10,0.05952380952380952,0.0,9.5
47,K Gowtham,(Rajasthan Royals),15,13,4,126,33*,14.0,64,196.87,0,0,1,9,9,0.140625,0.0,6.923076923076923
1,RR Pant,(Delhi Daredevils),14,14,1,684,128*,52.61,394,173.6,1,5,1,68,37,0.03299492385786802,0.42857142857142855,35.285714285714285
2,KL Rahul,(Kings XI Punjab),14,14,2,659,95*,54.91,416,158.41,0,6,0,66,32,0.028846153846153848,0.42857142857142855,32.57142857142857
8,KD Karthik,(Kolkata Knight Riders),16,16,6,498,52,49.8,337,147.77,0,2,0,49,16,0.02967359050445104,0.125,18.25
11,AB de Villiers,(Royal Challengers Bangalore),12,11,2,480,90*,53.33,275,174.54,0,6,0,39,30,0.03272727272727273,0.5454545454545454,30.545454545454547
12,MS Dhoni,(Chennai Super Kings),16,15,9,455,79*,75.83,302,150.66,0,3,0,24,30,0.019867549668874173,0.2,18.4
14,SV Samson,(Rajasthan Royals),15,15,1,441,92*,31.5,320,137.81,0,3,1,30,19,0.04375,0.2,15.6
26,Ishan Kishan,(Mumbai Indians),14,12,0,275,62,22.91,184,149.45,0,2,3,22,17,0.06521739130434782,0.16666666666666666,15.833333333333334
48,WP Saha,(Sunrisers Hyderabad),11,10,2,122,35,15.25,102,119.6,0,0,1,17,1,0.0784313725490196,0.0,7.4
